NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00216,0,7,0,0,0,0,7,N/A,0,0,39
00217,1,8,0,0,0,0,8,N/A,3,0,62
00218,6,8,2,0,2,0,8,N/A,6,2,70
00219,0,18,0,0,0,0,18,N/A,0,0,41
00220,2,3,0,0,0,0,3,N/A,4,0,61
00221,1,16,2,0,2,0,16,N/A,4,2,67
00222,5,51,5,0,5,0,51,N/A,6,2,87
00223,4,8,0,0,0,0,8,N/A,5,0,65
00224,2,7,1,0,1,0,7,N/A,4,2,67
00225,0,3,0,0,0,0,3,N/A,0,0,37
00226,0,5,0,0,0,0,5,N/A,0,0,39
00227,0,6,0,0,0,0,6,N/A,0,0,39
00228,0,12,0,0,0,0,12,N/A,0,0,39
00229,2,36,4,2,2,0,36,N/A,13,2,80
00230,2,5,0,0,0,0,5,N/A,3,0,62
00231,0,4,0,0,0,0,4,N/A,0,0,37
00232,0,38,0,0,0,0,38,N/A,0,0,43
00233,1,3,0,0,0,0,3,N/A,3,0,60
00234,0,8,0,0,0,0,8,N/A,0,0,38
00235,6,18,2,0,2,0,18,N/A,7,2,71
00236,6,22,0,0,0,0,22,N/A,7,0,71
00237,1,2,0,0,0,0,2,N/A,3,0,61
00238,5,14,7,0,7,0,14,N/A,23,2,89
00239,0,215,0,0,0,0,215,N/A,0,0,72
00240,0,51,0,0,0,0,51,N/A,0,0,45
00241,1,28,2,0,2,0,28,N/A,7,2,72
00242,5,16,0,0,0,0,16,N/A,6,0,67
00243,0,83,0,0,0,0,83,N/A,0,0,48
00244,0,0,0,0,0,0,0,N/A,0,0,13
00245,0,0,0,0,0,0,0,N/A,0,0,14
00246,0,0,0,0,0,0,0,N/A,0,0,13
00247,0,0,0,0,0,0,0,N/A,0,0,13
00248,0,101,0,0,0,0,101,N/A,0,0,50
00249,0,97,0,0,0,0,97,N/A,0,0,49
00250,0,111,0,0,0,0,111,N/A,0,0,52
00251,0,104,0,0,0,0,104,N/A,0,0,50
00252,0,107,0,0,0,0,107,N/A,0,0,50
00253,0,103,0,0,0,0,103,N/A,0,0,50
00254,0,164,0,0,0,0,164,N/A,0,0,64
00255,0,17,0,0,0,0,17,N/A,0,0,40
00256,0,65,0,0,0,0,65,N/A,0,0,46
00257,0,0,0,0,0,0,0,N/A,0,0,13
00258,0,0,0,0,0,0,0,N/A,0,0,13
00259,0,6,0,0,0,0,6,N/A,0,0,38
00260,0,0,0,0,0,0,0,N/A,0,0,14
00261,0,1,0,0,0,0,1,N/A,0,0,36
00262,0,1,0,0,0,0,1,N/A,0,0,36
00263,0,0,0,0,0,0,0,N/A,0,0,14
00264,0,2,0,0,0,0,2,N/A,0,0,37
00265,0,0,0,0,0,0,0,N/A,0,0,14
00266,0,17,0,0,0,0,17,N/A,0,0,40
00267,4,7,0,0,0,0,7,N/A,4,0,64
00268,0,3,0,0,0,0,3,N/A,0,0,35
00269,0,72,0,0,0,0,72,N/A,0,0,47
00270,0,63,0,0,0,0,63,N/A,0,0,46
00271,0,65,0,0,0,0,65,N/A,0,0,47
00272,0,77,0,0,0,0,77,N/A,0,0,48
00273,0,71,0,0,0,0,71,N/A,0,0,48
00274,0,94,0,0,0,0,94,N/A,0,0,51
00275,0,127,0,0,0,0,127,N/A,0,0,52
00276,0,13,0,0,0,0,13,N/A,0,0,40
00277,0,101,0,0,0,0,101,N/A,0,0,50
00278,0,0,0,0,0,0,0,N/A,0,0,13
00279,26,168,19,0,19,0,168,N/A,15,3,109
00280,0,257,0,0,0,0,257,N/A,0,0,73
00281,13,345,2663,1057,1787,11,356,N/A,520,73,810
00282,66,883,665765,239268,439361,90,973,N/A,92396,116629,220349
00283,86,960,830723,295763,547871,129,1087,N/A,109459,184915,308514
00284,84,1222,1380059,432937,970653,123,1345,N/A,188110,392952,TIMEOUT
