NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00415,7752,40159,53499,62,53465,28,40187,N/A,38275,43626,89522
00416,12269,58718,98023,82,97972,31,58749,N/A,113181,197933,327898
00417,176,516,170,0,170,0,516,N/A,1478,12,1668
00418,202,594,198,2,198,2,596,N/A,2109,15,2325
00419,1496,4638,33831,6958,32516,5485,10123,N/A,211172,12235,235242
00420,1480,5349,26866,2485,25406,980,6329,N/A,54407,4131,61337
00421,716,1900,6314,3997,5855,3469,5369,N/A,11613,1724,14329
00422,420,727,1503,508,1473,455,1182,N/A,2684,194,3247
00423,619,714,944,0,944,0,714,N/A,318,154,756
00424,728,1463,3491,731,3416,656,2119,N/A,6105,607,7478
00425,11625,26750,109884,0,109873,0,26750,N/A,254766,316969,TIMEOUT
00426,24421,44891,80704,0,80676,0,44891,N/A,281660,276787,TIMEOUT
00428,0,0,0,0,0,0,0,N/A,0,0,13
00429,0,0,0,0,0,0,0,N/A,0,0,13
00430,359,208,194,0,194,0,208,N/A,166,35,372
00431,359,178,135,0,135,0,178,N/A,125,28,315
00432,238,137,398,0,398,0,137,N/A,169,45,354
00433,242,137,402,0,402,0,137,N/A,160,44,351
00434,0,21034,0,0,0,0,21034,N/A,0,0,1602
00435,1,9081,0,0,0,0,9081,N/A,0,0,812
00436,2308,24038,39585,25053,39115,24591,48629,N/A,334027,215886,TIMEOUT
00437,44247,103430,45297,8683,45173,8614,112044,N/A,184898,380030,TIMEOUT
00438,1512,3024,20898,19386,20898,19386,22410,N/A,115818,61955,179263
00439,0,0,0,0,0,0,0,N/A,0,0,13
00440,0,0,0,0,0,0,0,N/A,0,0,13
00441,0,0,0,0,0,0,0,N/A,0,0,13
00442,0,0,0,0,0,0,0,N/A,0,0,13
00443,13730,0,0,0,0,0,0,N/A,0,0,1637
00444,13730,0,0,0,0,0,0,N/A,0,0,1723
00445,120,1222,376,0,375,0,1222,N/A,183,27,456
00446,164,1814,751,96,748,90,1904,N/A,791,136,1273
00447,164,1813,739,90,736,88,1901,N/A,1155,131,1649
00448,24847,49612,113533,37910,94496,18695,68307,N/A,132298,448979,TIMEOUT
00449,207,2045,1256,152,1252,149,2194,N/A,2536,167,3217
