NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00333,5,66,18,10,9,1,67,194
00334,9,228,42,23,21,2,230,229
00335,0,33,0,0,0,0,33,116
00336,9,228,42,23,21,2,230,262
00337,0,27,0,0,0,0,27,111
00338,9,228,33,14,21,2,230,205
00339,4,93,17,10,8,1,94,194
00340,9,228,42,23,21,2,230,224
00341,2,33,2,3,2,3,36,164
00342,0,11,0,0,0,0,11,102
00343,4,156,2506719,1,2526569,1,157,TIMEOUT
00344,12,417,2219391,615733,1609636,447,864,TIMEOUT
00345,12,417,2258116,772092,1490543,353,770,TIMEOUT
00346,8,261,22,0,22,0,261,204
00347,8,98,48,13,41,6,104,235
00348,12,166,79,23,65,9,175,315
00349,8,98,55,16,45,6,104,253
00350,934,3026,65974,22826,47855,2,3028,TIMEOUT
00352,221,3256,147641,82577,83496,18432,21688,18372
00353,221,3235,240287,128857,129862,18432,21667,20750
00354,1417,4648,25849,0,30490,0,4648,TIMEOUT
00355,0,131,0,0,0,0,131,123
00356,1719,1901,1745,0,1744,0,1901,1866
00357,1794,1981,2118,0,2117,0,1981,2140
00358,101,267,655,0,650,0,267,604
00359,515,181,219,0,219,0,181,506
00360,1059,1616,3403,0,3403,0,1616,3005
00361,0,326,0,0,0,0,326,157
00362,0,57,0,0,0,0,57,139
00363,0,70,0,0,0,0,70,132
00364,0,37,0,0,0,0,37,120
00365,0,38,0,0,0,0,38,113
00366,40,96,137,0,137,0,96,535
00367,40,96,137,0,137,0,96,385
00368,6657,25628,54641,0,54641,0,25628,54300
00369,10978,39919,103646,0,103646,0,39919,185052
00370,12070,56379,111832,0,111832,0,56379,215149
00371,7464,27758,69501,2909,67203,617,28375,75112
00372,557,1077,709,176,709,176,1253,2478
00373,668,1297,832,189,832,189,1486,2295
00374,8270,30220,106300,13470,100147,7317,37537,135841
00375,12632,45457,137522,13506,130532,6516,51973,TIMEOUT
00376,694,1286,7648,7016,7647,7015,8301,5196
00377,570,1006,6860,6376,6860,6376,7382,5212
00378,21423,58205,106543,0,106531,0,58205,TIMEOUT
00380,3141,6000,3256,302,3256,302,6302,22954
00381,3216,6053,3499,534,3499,534,6587,26549
00382,8378,47281,113826,44023,79236,9433,56714,TIMEOUT
00383,13719,65847,108118,43094,71814,6800,72647,TIMEOUT
00384,732,548,5985,2503,4130,648,1196,2740
00385,829,573,9407,4329,6242,1165,1737,4194
00386,7559,28570,56945,62,56920,37,28607,63751
00387,12025,44320,196656,53592,162166,19102,63422,TIMEOUT
00388,106,212,138,32,138,32,244,513
00389,100,200,100,0,100,0,200,710
00390,7029,26439,145825,49709,110730,14646,41085,251188
00391,11279,40960,99807,32087,76781,9075,50035,TIMEOUT
00392,608,1213,9138,8385,9032,8279,9492,10276
00393,776,1552,8569,6655,7511,5597,7149,13575
00394,9071,31193,77952,5510,74384,1943,33135,150812
00395,21788,60146,104154,5799,104106,5751,65897,TIMEOUT
00396,597,1153,1189,619,1189,619,1772,2896
00397,1494,2922,7250,5799,7250,5799,8721,14194
00398,7419,27696,68544,2648,66382,492,28188,73192
00399,512,991,612,122,612,122,1113,2082
00400,7999,29907,72765,3306,70155,696,30603,82503
00401,423,786,854,470,854,470,1256,2132
00402,1627,2230,1552,0,1550,0,2230,1632
00403,2479,3894,2709,0,2702,0,3894,2526
00404,2,45,6,0,6,0,45,179
00405,4,49,14,0,14,0,49,201
00406,2,92,9,0,9,0,92,188
00407,4,97,19,0,19,0,97,217
00408,0,10,0,0,0,0,10,100
00409,0,10,0,0,0,0,10,106
00410,471,1339,63680,5929,63677,33,1372,TIMEOUT
00411,250,1199,1739,0,1735,0,1199,1298
00412,919,3532,7049,0,7049,0,3532,4777
00413,1085,4625,8145,0,8145,0,4625,5050
00414,25,50,27,2,27,2,52,448
00415,7752,39986,64135,135,64028,28,40014,73963
00416,12269,56650,115228,353,114906,31,56681,243473
00417,176,343,170,0,170,0,343,1632
00418,202,395,198,2,198,2,397,2399
00419,1496,4468,62257,25070,42501,5315,9783,57961
00420,1480,5169,25236,5424,20682,905,6074,16164
00421,716,1271,10592,5971,7999,3378,4649,7792
00422,420,672,2458,688,2149,379,1051,3397
00423,619,714,1193,0,1193,0,714,1133
00424,728,1463,6060,1607,5109,656,2119,5270
00425,11625,26750,185015,0,184994,0,26750,TIMEOUT
00426,24421,44891,119271,0,119242,0,44891,TIMEOUT
00427,261,729,17491,1677,16197,296,1025,5785
00428,0,0,0,0,0,0,0,78
00429,0,0,0,0,0,0,0,74
00430,359,178,495,0,495,0,178,529
00431,359,178,494,0,494,0,178,554
00432,238,137,636,0,636,0,137,614
00433,242,137,644,0,644,0,137,554
00434,0,21034,0,0,0,0,21034,822
00435,1,9081,0,0,0,0,9081,470
00436,2308,24014,240654,122979,146504,28839,52853,239183
00437,44247,90904,162280,83980,96895,18595,109499,TIMEOUT
00438,1512,3024,20898,19386,20898,19386,22410,45565
00439,0,0,0,0,0,0,0,102
00440,0,0,0,0,0,0,0,88
00441,0,0,0,0,0,0,0,96
00442,0,0,0,0,0,0,0,74
00443,13730,0,0,0,0,0,0,1404
00444,13730,0,0,0,0,0,0,1260
00445,120,1222,480,0,479,0,1222,632
